Year,CO2 FF+I (GtC),CO2 AFOLU (GtC),CH4 (MtCH4),N2O (MtN2),SO2 (MtS),CO (MtCO),NMVOC (MtNMVOC),NOx (MtN),BC (MtC),OC (MtC),NH3 (MtNH3),CF4,C2F6,C6F14,HFC23,HFC32,HFC43_10,HFC125,HFC134a,HFC143a,HFC227ea,HFC245fa,SF6,CFC_11,CFC_12,CFC_113,CFC_114,CFC_115,CARB_TET,MCF,HCFC_22,HCFC_141B,HCFC_142B,HALON1211,HALON1202,HALON1301,HALON2402,CH3BR,CH3CL
1765.0,0.003,0.1066,20.9192,0.07249596117056326,1.2488,352.9327,60.6295,3.8768,2.1236,15.6799,5.8573,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.267,3100.211
1766.0,0.0034,0.1086,20.8536,0.07386558320723423,1.2422,349.3806,59.8588,3.8835,2.1105,15.3588,5.7946,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.267,3100.211
1767.0,0.0034,0.1106,20.9992,0.07526104596823666,1.2414,349.6161,59.891,3.8791,2.1125,15.4006,5.8021,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.267,3100.211
1768.0,0.0034,0.1126,21.6595,0.07668292227750893,1.2927,362.6537,62.3658,4.0376,2.1831,16.0637,5.9489,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.267,3100.211
1769.0,0.0034,0.1147,21.4963,0.0781315940176766,1.2714,355.0254,60.9504,3.9133,2.1376,15.7351,5.8947,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.267,3100.211
1770.0,0.0034,0.1168,21.6344,0.07960769765978234,1.2755,355.3605,60.966,3.9258,2.1394,15.7427,5.8932,0.0101,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.267,3100.211
1771.0,0.0038,0.119,21.4289,0.08111167873355601,1.2282,347.862,59.4242,3.8419,2.1009,15.322,5.8217,0.0101,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.267,3100.211
1772.0,0.0038,0.1212,21.3946,0.08264404641583169,1.2159,344.6135,58.725,3.8117,2.0871,15.1142,5.8003,0.0101,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.267,3100.211
1773.0,0.0038,0.1234,21.5952,0.08420537353054781,1.2188,345.7768,58.9166,3.7944,2.0928,15.2047,5.8508,0.0101,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.267,3100.211
1774.0,0.0038,0.1257,22.2597,0.0857962329016427,1.2645,358.1036,61.3134,3.8908,2.1549,15.8756,6.051,0.0101,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.267,3100.211
1775.0,0.0038,0.128,22.201,0.08741707005884625,1.2487,355.0472,60.5408,3.9167,2.149,15.5891,5.9868,0.0101,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.267,3100.211
1776.0,0.0042,0.1303,22.1419,0.08906858512030538,1.2333,348.8986,59.3811,3.7762,2.1121,15.3701,5.98,0.0101,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.267,3100.211
