,CO2,CH4,N2O,otherGHG,FO3tr,O3st,H2Ost,contrails,aerosols,BCsnow,landuse,volcanic,solar
1765,0.0009819091559516296,0.0,0.0,0.0,0.038390706993039536,-0.0,0.0,0.0,-0.03345925636199999,0.010499876390605687,-0.000121299074,0.104971077,-0.054
1766,0.001734062822436721,0.00543322156559756,8.663923130712902e-05,-6.125453996865815e-09,0.038754942552630976,-0.0,0.0006519865878717072,0.0,-0.036868602360343325,0.010435105067985168,-0.000244873928,0.107048,-0.048
1767,0.0024101821704412114,0.010270477901169056,0.000208992574250083,-1.0795803068617715e-08,0.03951051580956856,-0.0,0.0012324573481402867,0.0,-0.04099561771942857,0.010444993819530284,-0.00037072456199999993,0.107048,-0.036
1768,0.0030524858100810888,0.014617127791391066,0.0003272544185778062,-1.4930587335648228e-08,0.041671377870032514,-0.0,0.001754055334966928,0.0,-0.04658701838256355,0.01079406674907293,-0.000498850976,0.107048,0.016
1769,0.0036756983926560546,0.018482836852771353,0.00044160226207487355,-1.8868238883534618e-08,0.04109801957349298,-0.0,0.0022179404223325624,0.0,-0.05000030983984444,0.010569097651421508,-0.000629366959,0.107048,0.05
1770,0.004285394195519648,0.021850460787594464,0.0005521436809067672,-2.2136840566654044e-08,0.0413868836644286,-0.0,0.0026220552945113358,0.0,-0.05408513018602169,0.010577997527812116,-0.000762272511,0.107048,0.081
1771,0.0048895509341531085,0.02476982543737854,0.0006589497522241325,-2.4886572142060262e-08,0.04064355476056443,-0.0,0.0029723790524854247,0.0,-0.05704541018934886,0.010387639060568605,-0.0008976814209999999,0.107048,0.055
1772,0.005485061618500674,0.027269585464382608,0.0007619879289196486,-2.7816853984337176e-08,0.0405455877391575,-0.0,0.003272350255725913,0.0,-0.060592973351410756,0.010319406674907293,-0.0010355936889999999,0.058586462,0.052
1773,0.006073471774535037,0.029445596800392854,0.000861462990383769,-3.090057341939168e-08,0.04107527911499592,-0.0,0.0035334716160471424,0.0,-0.06481691839893002,0.010347589616810877,-0.001176009315,0.093201846,0.016
1774,0.0066579076485623325,0.03141838604574258,0.0009576442220034705,-3.411252467828928e-08,0.042817786412803656,-0.0,0.00377020632548911,0.0,-0.07045122907956074,0.010654635352286775,-0.001319042088,0.103586462,-0.002
1775,0.007239593821111664,0.03317432985785962,0.0010506987065512542,-3.743086806344971e-08,0.043032071366786134,-0.0,0.003980919582943154,0.0,-0.0736817372926589,0.010625463535228679,-0.0014646920079999998,0.106355692,-0.038
1776,0.007822624130681162,0.03464268584567832,0.0011406573638704143,-4.083720070396143e-08,0.042660447191955705,-0.0,0.004157122301481398,0.0,-0.07724781807703726,0.01044301606922126,-0.0016129590749999999,0.107048,-0.045
